name,gender,probability
lum,male,1
malachi,male,0.99
newt,male,1
noel,male,0.81
orie,male,0.58
palmer,female,0.56
pinkney,male,1
sumner,male,0.73
terry,male,0.98
urban,male,1
uriah,male,0.94
valentine,female,0.57
waldo,male,0.57
warner,male,0.94
wong,male,1
zeb,male,1
abel,male,1
alden,male,0.96
archer,male,0.98
avery,female,0.81
carson,male,0.96
cullen,male,0.99
doc,male,1
eben,male,0.93
elige,male,1
elmore,female,0.5
ernst,male,1
finis,female,0.5
godfrey,male,1
guss,male,1
hamp,male,1
hermann,male,1
isadore,male,0.63
isreal,male,0.92
jones,male,0.94
lafe,male,1
leland,male,0.99
llewellyn,female,0.5
ludwig,male,1
manford,male,1
maxwell,male,0.99
obie,male,0.75
octave,male,1
orrin,male,1
oswald,male,1
park,male,1
parley,male,1
ramon,male,0.99
rice,male,1
stonewall,male,1
tillman,male,1
aron,male,0.98
ashley,female,0.99
bernhard,male,1
berton,male,1
buster,male,0.77
butler,male,1
carleton,male,1
clarance,male,1
crawford,male,0.91
danial,male,0.85
dayton,male,0.95
dolphus,male,1
elder,male,0.86
ephriam,male,1
fayette,female,0.58
felipe,male,0.98
fernando,male,0.99
flem,male,1
ford,male,0.98
harlan,male,0.89
hayes,male,0.95
henery,male,1
hoy,male,1
huston,male,1
ivory,female,0.92
jonah,male,0.99
justin,male,1
lenard,male,0.71
leopold,male,1
